"","Publisher","Global_Sales","NA_Sales","EU_Sales","JP_Sales","Other_Sales"
"1","10TACLE Studios",0.0366666666666667,0.0233333333333333,0.0133333333333333,0,0
"2","1C Company",0.0333333333333333,0.00333333333333333,0.0233333333333333,0,0.00666666666666667
"3","20th Century Fox Video Games",0.388,0.364,0.02,0,0.002
"4","2D Boy",0.04,0,0.03,0,0.01
"5","3DO",0.281111111111111,0.18,0.0844444444444444,0,0.0175
"6","49Games",0.04,0,0.04,0,0
"7","505 Games",0.291197916666667,0.16578125,0.0855729166666667,0.0106770833333333,0.0283333333333333
"8","5pb",0.0267213114754098,0.000327868852459016,0,0.0263934426229508,0
"9","7G//AMES",0.02,0,0.015,0,0
"10","989 Sports",0.38,0.21,0.14,0,0.02
"11","989 Studios",0.951428571428571,0.659285714285714,0.235714285714286,0.00714285714285714,0.0478571428571429
"12","Abylight",0.08,0.07,0,0,0.01
"13","Acclaim Entertainment",0.348586956521739,0.232336956521739,0.0910326086956522,0.00619565217391304,0.0183152173913043
"14","Accolade",0.56,0.416666666666667,0.113333333333333,0,0.0233333333333333
"15","Ackkstudios",0.084,0.013,0.004,0.066,0.001
"16","Acquire",0.0823076923076923,0.0107692307692308,0,0.07,0.00230769230769231
"17","Activision",0.74611282051282,0.440717948717949,0.22105641025641,0.00670769230769231,0.0772717948717949
"18","Activision Blizzard",0.48,0.08,0.36,0,0.04
"19","Activision Value",0.24,0.190689655172414,0.0303448275862069,0,0.0196551724137931
"20","Adeline Software",0.17,0.1,0.07,0,0.01
"21","Aerosoft",0.015,0.005,0.01,0,0
"22","Agatsuma Entertainment",0.103333333333333,0.0733333333333333,0.00666666666666667,0.02,0.00333333333333333
"23","Agetec",0.2425,0.0975,0.0725,0.0475,0.02375
"24","Aksys Games",0.055,0.02375,0.00125,0.0225,0.00625
"25","Alawar Entertainment",0.025,0,0.02,0,0.005
"26","Alchemist",0.0611627906976744,0.0137209302325581,0.0106976744186047,0.0330232558139535,0.00348837209302326
"27","Alternative Software",0.0333333333333333,0,0.03,0,0.005
"28","Altron",0.07,0.05,0.02,0,0
"29","Alvion",0.02,0,0,0.02,0
"30","American Softworks",0.23,0.13,0.09,0,0.02
"31","Angel Studios",0.146666666666667,0,0,0.146666666666667,0
"32","Answer Software",0.5,0.46,0.03,0,0.01
"33","AQ Interactive",0.106,0.068,0.012,0.022,0.01
"34","Aqua Plus",0.0543478260869565,0.00217391304347826,0,0.0517391304347826,0.000869565217391304
"35","Aques",0.16,0,0,0.15,0.01
"36","Arc System Works",0.0569230769230769,0.03,0,0.0219230769230769,0.00461538461538462
"37","Arena Entertainment",2.36,1.85,0.44,0,0.07
"38","Aria",0.07,0,0,0.07,0
"39","Arika",0.03,0.0133333333333333,0.01,0.00666666666666667,0.00333333333333333
"40","ArtDink",0.0811111111111111,0.00777777777777778,0.00555555555555556,0.0655555555555555,0.00444444444444444
"41","Aruze Corp",0.393333333333333,0,0,0.363333333333333,0.0266666666666667
"42","ASC Games",0.673333333333333,0.373333333333333,0.256666666666667,0,0.0433333333333333
"43","Ascaron Entertainment",0.01,0,0.01,0,0
"44","Ascaron Entertainment GmbH",0.0366666666666667,0,0.03,0,0.00666666666666667
"45","ASCII Entertainment",0.5445,0.035,0.022,0.47,0.018
"46","ASCII Media Works",0.03,0,0,0.03,0
"47","Asgard",0.03125,0,0,0.03125,0
"48","ASK",0.03,0,0,0.03,0
"49","Asmik Ace Entertainment",0.0766666666666667,0,0,0.0733333333333333,0.00333333333333333
"50","Asmik Corp",0.085,0,0,0.085,0
"51","Aspyr",0.0775,0.06875,0.005,0,0.00625
"52","Astragon",0.106666666666667,0.04,0.0533333333333333,0,0.01
"53","Asylum Entertainment",0.0983333333333333,0.015,0.0716666666666667,0,0.01
"54","Atari",0.433112947658402,0.303140495867769,0.0747107438016529,0.029504132231405,0.0248209366391185
"55","Athena",0.045,0.01,0,0.035,0
"56","Atlus",0.190149253731343,0.0626865671641791,0.0164179104477612,0.10044776119403,0.0114925373134328
"57","Avalon Interactive",0.08,0.0566666666666667,0.02,0,0.005
"58","Avanquest",0.115384615384615,0.0430769230769231,0.0623076923076923,0,0.00961538461538462
"59","Avanquest Software",0.187777777777778,0.105555555555556,0.0588888888888889,0.00333333333333333,0.0188888888888889
"60","Axela",0.25,0,0,0.24,0.02
"61","BAM! Entertainment",0.141428571428571,0.0902857142857143,0.0414285714285714,0.000857142857142857,0.00685714285714286
"62","Banpresto",0.238356164383562,0.00561643835616438,0.00273972602739726,0.225205479452055,0.00493150684931507
"63","Benesse",0.055,0.00166666666666667,0,0.0533333333333333,0
"64","Berkeley",0.03,0.02,0.01,0,0
"65","Bethesda Softworks",1.1569014084507,0.55943661971831,0.432816901408451,0.0204225352112676,0.143098591549296
"66","Big Ben Interactive",0.142857142857143,0.111428571428571,0.0185714285714286,0,0.01
"67","Big Fish Games",0.025,0,0.02,0,0
"68","Bigben Interactive",0.0646153846153846,0.00769230769230769,0.0476923076923077,0,0.01
"69","bitComposer Games",0.082,0.032,0.04,0,0.016
"70","Black Bean Games",0.0967647058823529,0.0376470588235294,0.0458823529411765,0.000294117647058824,0.0120588235294118
"71","Black Label Games",1.2,0.59,0.46,0,0.15
"72","Blast! Entertainment Ltd",0.0633333333333333,0.0383333333333333,0.0183333333333333,0,0.005
"73","Blue Byte",0.015,0,0.015,0,0
"74","BMG Interactive Entertainment",0.168571428571429,0.0957142857142857,0.0628571428571429,0,0.01
"75","Bohemia Interactive",0.12,0,0.1,0,0.02
"76","Bomb",0.22,0.21,0.01,0,0
"77","Boost On",0.01,0,0,0.01,0
"78","BPS",0.26,0,0,0.26,0
"79","Brash Entertainment",0.123,0.089,0.021,0,0.011
"80","Broccoli",0.0436363636363636,0,0,0.0436363636363636,0
"81","BushiRoad",0.03,0,0,0.03,0
"82","Capcom",0.527270341207349,0.206272965879265,0.102939632545932,0.178687664041995,0.0389501312335958
"83","Cave",0.033,0.014,0,0.018,0.001
"84","CBS Electronics",0.31,0.29,0.02,0,0
"85","CCP",0.22,0,0.19,0,0.02
"86","CDV Software Entertainment",0.0333333333333333,0.0183333333333333,0.01,0,0.00166666666666667
"87","ChunSoft",0.226111111111111,0.0205555555555556,0,0.200555555555556,0.005
"88","City Interactive",0.242631578947368,0.0894736842105263,0.119473684210526,0.00368421052631579,0.0278947368421053
"89","Cloud Imperium Games Corporation",0.04,0.04,0,0,0
"90","Coconuts Japan",0.035,0.005,0.005,0.025,0
"91","Codemasters",0.314934210526316,0.0784210526315789,0.18875,0.00546052631578947,0.0414473684210526
"92","Codemasters Online",0.02,0,0.02,0,0
"93","CokeM Interactive",0.31,0.29,0,0,0.02
"94","Coleco",0.612,0.574,0.034,0,0.006
"95","Comfort",0.025,0,0,0.025,0
"96","Commseed",0.01,0,0,0.01,0
"97","Compile",0.41,0,0,0.391666666666667,0.0166666666666667
"98","Compile Heart",0.0685,0.025,0.0015,0.0385,0.0035
"99","Conspiracy Entertainment",0.06,0.045,0.01,0,0.00285714285714286
"100","Core Design Ltd.",0.145,0.08,0.055,0,0.01
"101","CPG Products",0.54,0.5,0.03,0,0.01
"102","Crave Entertainment",0.139859154929577,0.0973239436619718,0.0263380281690141,0.00633802816901408,0.00943661971830986
"103","Creative Core",0.0333333333333333,0,0,0.0333333333333333,0
"104","Crimson Cow",0.04,0,0.03,0,0.005
"105","Crystal Dynamics",0.342,0.19,0.13,0,0.024
"106","CTO SpA",0.45,0.25,0.17,0,0.03
"107","Culture Brain",0.0675,0,0,0.0675,0
"108","Culture Publishers",0.09,0.05,0.03,0,0.01
"109","CyberFront",0.0192857142857143,0.000714285714285714,0,0.0185714285714286,0
"110","Cygames",0.03,0,0,0.03,0
"111","D3Publisher",0.131141304347826,0.0626086956521739,0.0272282608695652,0.0252717391304348,0.0156521739130435
"112","Daedalic",0.0933333333333333,0,0.08,0,0.02
"113","Daedalic Entertainment",0.0466666666666667,0,0.0366666666666667,0,0.00333333333333333
"114","Daito",0.0575,0,0,0.0575,0
"115","Data Age",0.355,0.33,0.02,0,0
"116","Data Design Interactive",0.0966666666666667,0.0833333333333333,0.00333333333333333,0,0.00666666666666667
"117","Data East",0.075,0,0,0.075,0
"118","Datam Polystar",0.015,0,0,0.015,0
"119","Deep Silver",0.210409836065574,0.104344262295082,0.0734426229508197,0.0089344262295082,0.0236065573770492
"120","Destination Software, Inc",0.0733333333333333,0.0625,0.00666666666666667,0,0.0025
"121","Destineer",0.0968888888888889,0.0902222222222222,0.00111111111111111,0,0.00577777777777778
"122","Detn8 Games",0.23,0.21,0,0,0.02
"123","Devolver Digital",0.02,0,0.02,0,0
"124","DHM Interactive",0.06,0.0533333333333333,0,0,0.00333333333333333
"125","DigiCube",0.06,0,0,0.06,0
"126","Disney Interactive Studios",0.550275229357798,0.327247706422018,0.158899082568807,0.00256880733944954,0.0604587155963303
"127","Dorart",0.015,0,0,0.015,0
"128","dramatic create",0.022,0,0,0.022,0
"129","DreamCatcher Interactive",0.0558823529411765,0.0441176470588235,0.00823529411764706,0,0.00411764705882353
"130","DreamWorks Interactive",0.13,0.07,0.05,0,0.01
"131","DSI Games",0.0583333333333333,0.0483333333333333,0.00666666666666667,0,0.00166666666666667
"132","DTP Entertainment",0.0797777777777778,0.036,0.0317777777777778,0.000444444444444444,0.0108888888888889
"133","Dusenberry Martin Racing",0.025,0.025,0,0,0.005
"134","EA Games",0.15,0.07,0.06,0,0.02
"135","Easy Interactive",0.025,0,0.015,0,0
"136","Ecole",0.06,0,0,0.06,0
"137","Edia",0.045,0,0,0.045,0
"138","Eidos Interactive",0.49989898989899,0.248434343434343,0.179949494949495,0.0308585858585859,0.0405050505050505
"139","Electronic Arts",0.821850481125093,0.440466321243523,0.274811250925241,0.0103923019985196,0.0960547742413027
"140","Electronic Arts Victor",0.21,0.115,0.085,0,0.015
"141","Elf",0.32,0,0,0.32,0
"142","Elite",0.07,0.04,0.03,0,0
"143","Empire Interactive",0.217115384615385,0.115961538461538,0.0725,0.00807692307692308,0.0215384615384615
"144","Encore",0.0175,0.01,0.0075,0,0
"145","Enix Corporation",1.12466666666667,0.0253333333333333,0.0103333333333333,1.08,0.009
"146","Enjoy Gaming ltd.",0.1,0.09,0,0,0.01
"147","Enterbrain",0.148666666666667,0.008,0.00666666666666667,0.129333333333333,0.00466666666666667
"148","EON Digital Entertainment",0.01,0.01,0,0,0
"149","Epic Games",0.01,0.01,0,0,0
"150","Epoch",0.15,0,0,0.141428571428571,0.00857142857142857
"151","Ertain",0.05,0.05,0,0,0
"152","ESP",0.118,0.006,0.004,0.108,0
"153","Essential Games",0.0766666666666667,0.00333333333333333,0,0.0733333333333333,0
"154","Evolution Games",0.07,0,0,0.06,0
"155","Evolved Games",0.04,0.0325,0.005,0,0.00375
"156","Excalibur Publishing",0.07,0,0.06,0,0.01
"157","Experience Inc.",0.02,0,0,0.02,0
"158","Extreme Entertainment Group",0.03,0.02,0,0.01,0
"159","Falcom Corporation",0.075625,0.0175,0,0.056875,0.001875
"160","Fields",0.03,0,0,0.03,0
"161","Flashpoint Games",0.04,0.035,0.005,0,0
"162","Flight-Plan",0.06,0,0,0.06,0
"163","Focus Home Interactive",0.12948275862069,0.0296551724137931,0.0808620689655172,0.000689655172413793,0.0179310344827586
"164","Focus Multimedia",0.0166666666666667,0,0.0166666666666667,0,0
"165","fonfun",0.02,0,0,0.02,0
"166","Foreign Media Games",0.07,0.03,0.0333333333333333,0,0.00555555555555556
"167","Fortyfive",0.06,0,0,0.06,0
"168","Fox Interactive",0.92375,0.47,0.39875,0,0.05375
"169","From Software",0.108666666666667,0.0233333333333333,0.014,0.066,0.00666666666666667
"170","Fuji",0.03,0,0,0.03,0
"171","Funbox Media",0.151666666666667,0.118333333333333,0.0216666666666667,0,0.01
"172","Funcom",0.1,0.035,0.05,0,0.01
"173","FunSoft",0.12,0.07,0.05,0,0.01
"174","Funsta",0.05,0.0325,0.0125,0,0.0025
"175","FuRyu",0.0488888888888889,0.00407407407407407,0.000740740740740741,0.0433333333333333,0.00037037037037037
"176","FuRyu Corporation",0.03,0.02,0,0,0.01
"177","G.Rev",0.02,0,0,0.02,0
"178","Gaga",0.02,0,0,0.02,0
"179","Gainax Network Systems",0.08,0,0,0.08,0.005
"180","Gakken",0.02,0,0,0.02,0
"181","Game Arts",0.14,0,0,0.14,0
"182","Game Factory",0.1184375,0.1034375,0.00625,0,0.0071875
"183","Game Life",0.15,0.065,0.065,0,0.015
"184","Gamebridge",0.365,0.15,0.065,0.12,0.03
"185","Gamecock",0.05,0.04,0.005,0,0
"186","Gameloft",0.11,0.1,0,0,0.01
"187","GameMill Entertainment",0.1725,0.16,0.005,0,0.01125
"188","GameTek",0.1,0.08,0.02,0,0
"189","Gathering of Developers",0.132222222222222,0.0677777777777778,0.0522222222222222,0,0.0133333333333333
"190","General Entertainment",0.14,0,0,0.13,0.01
"191","Genki",0.1825,0.06125,0.04375,0.065,0.01375
"192","Genterprise",0.01,0,0,0.01,0
"193","Ghostlight",0.186,0.0813333333333333,0.0306666666666667,0.0593333333333333,0.0146666666666667
"194","Giga",0.02,0,0,0.02,0
"195","Giza10",0.02,0,0,0.02,0
"196","Glams",0.08,0,0,0.08,0
"197","Global A Entertainment",0.0375,0.0325,0,0.0025,0.0025
"198","Global Star",0.196153846153846,0.134615384615385,0.0438461538461538,0,0.0161538461538462
"199","GN Software",0.0166666666666667,0,0,0.0166666666666667,0
"200","GOA",0.02,0,0.02,0,0
"201","Gotham Games",0.531428571428571,0.324285714285714,0.177142857142857,0,0.0314285714285714
"202","Graffiti",0.0633333333333333,0.06,0,0,0.00166666666666667
"203","Grand Prix Games",0.06,0,0,0.06,0
"204","Graphsim Entertainment",0.02,0,0.02,0,0
"205","Gremlin Interactive Ltd",0.122222222222222,0.0733333333333333,0.0411111111111111,0,0.00555555555555556
"206","Griffin International",0.09,0.08,0,0,0.01
"207","Groove Games",0.045,0.035,0.01,0,0
"208","GSP",0.230625,0.0725,0.135,0,0.023125
"209","GT Interactive",0.560666666666667,0.346,0.188666666666667,0.000444444444444444,0.0253333333333333
"210","GungHo",0.242307692307692,0.0646153846153846,0.00153846153846154,0.167692307692308,0.00846153846153846
"211","Gust",0.0846153846153846,0.0115384615384615,0.00384615384615385,0.0646153846153846,0.00384615384615385
"212","Hackberry",0.0442857142857143,0,0,0.0442857142857143,0
"213","HAL Laboratory",0.06,0.06,0,0,0
"214","Hamster Corporation",0.15,0.08,0.055,0.01,0.01
"215","Happinet",0.036,0,0,0.036,0
"216","Harmonix Music Systems",0.4,0.3,0.045,0,0.055
"217","Hasbro Interactive",0.95125,0.686875,0.22375,0,0.04
"218","Havas Interactive",0.13,0.01,0.09,0,0.02
"219","Headup Games",0.03,0,0.03,0,0
"220","Hearty Robin",0.09,0,0,0.08,0.01
"221","Hect",0.166666666666667,0,0,0.166666666666667,0
"222","Hello Games",1.6,0.58,0.74,0.02,0.26
"223","Her Interactive",0.03,0.03,0,0,0
"224","Hip Interactive",0.072,0.052,0.018,0,0
"225","HMH Interactive",0.07,0,0.055,0,0.01
"226","Home Entertainment Suppliers",0.142,0.018,0.098,0,0.024
"227","Hudson Entertainment",0.153636363636364,0.03,0.00454545454545455,0.11,0.00909090909090909
"228","Hudson Soft",0.284074074074074,0.0314814814814815,0.0116049382716049,0.237160493827161,0.00395061728395062
"229","Human Entertainment",0.230769230769231,0.00461538461538462,0.00307692307692308,0.216923076923077,0.00769230769230769
"230","HuneX",0.015,0,0,0.015,0
"231","Iceberg Interactive",0.0266666666666667,0.00666666666666667,0.0166666666666667,0,0
"232","id Software",0.03,0.02,0,0,0
"233","Idea Factory",0.0311627906976744,0.00410852713178295,0.000387596899224806,0.0257364341085271,0.000775193798449612
"234","Idea Factory International",0.101666666666667,0.0383333333333333,0.0133333333333333,0.0333333333333333,0.015
"235","IE Institute",0.192,0,0,0.192,0
"236","Ignition Entertainment",0.111803278688525,0.0660655737704918,0.0222950819672131,0.0111475409836066,0.00967213114754098
"237","Illusion Softworks",0.7,0.34,0.27,0,0.09
"238","Imadio",0.14,0,0,0.14,0
"239","Image Epoch",0.1,0,0,0.1,0
"240","imageepoch Inc.",0.02,0,0,0.02,0
"241","Imageworks",0.02,0,0,0.02,0
"242","Imagic",1.205,1.1275,0.0675,0,0.01
"243","Imagineer",0.165625,0.005625,0.001875,0.158125,0
"244","Imax",0.06,0,0,0.06,0
"245","Indie Games",0.106666666666667,0.03,0.0233333333333333,0.0466666666666667,0.00666666666666667
"246","Infogrames",0.263548387096774,0.169354838709677,0.0741935483870968,0.00612903225806452,0.0137096774193548
"247","Insomniac Games",0.04,0.0333333333333333,0,0,0.00333333333333333
"248","Interchannel",0.025,0,0,0.025,0
"249","Interchannel-Holon",0.01,0,0,0.01,0
"250","Intergrow",0.03,0,0,0.03,0
"251","Interplay",0.222,0.128666666666667,0.0756666666666667,0.000333333333333333,0.016
"252","Interplay Productions",0.1,0.05,0.04,0,0.01
"253","Interworks Unlimited, Inc.",0.01,0.01,0,0,0
"254","Inti Creates",0.01,0,0,0.01,0
"255","Introversion Software",0.02,0.01,0.01,0,0
"256","inXile Entertainment",0.1,0.02,0.06,0,0.01
"257","Irem Software Engineering",0.0383333333333333,0.01,0.000833333333333333,0.0258333333333333,0.000833333333333333
"258","ITT Family Games",0.34,0.32,0.02,0,0
"259","Ivolgamus",0.04,0.03,0,0,0
"260","iWin",0.06,0,0.05,0,0.01
"261","Jack of All Games",0.14,0.103333333333333,0.0333333333333333,0,0.00333333333333333
"262","Jaleco",0.0843478260869565,0.0343478260869565,0.0182608695652174,0.0278260869565217,0.00434782608695652
"263","Jester Interactive",0.383333333333333,0.233333333333333,0.0966666666666667,0,0.0466666666666667
"264","Jorudan",0.316666666666667,0,0,0.31,0.00666666666666667
"265","JoWood Productions",0.0677272727272727,0.0395454545454545,0.0218181818181818,0.000454545454545455,0.00636363636363636
"266","Just Flight",0.03,0,0.03,0,0.01
"267","JVC",0.35,0.28125,0.0425,0.015,0.00875
"268","Kadokawa Games",0.0386666666666667,0,0,0.0386666666666667,0
"269","Kadokawa Shoten",0.0754,0.0092,0.0062,0.0586,0.0014
"270","Kaga Create",0.0233333333333333,0,0,0.0233333333333333,0
"271","Kalypso Media",0.0844827586206897,0.0344827586206897,0.036551724137931,0.00310344827586207,0.00862068965517241
"272","Kamui",0.03,0,0,0.03,0
"273","Kando Games",0.03,0.02,0.01,0,0
"274","Karin Entertainment",0.02,0,0,0.02,0
"275","Kemco",0.105714285714286,0.0766666666666667,0.0233333333333333,0.00238095238095238,0.0019047619047619
"276","KID",0.02,0,0,0.02,0
"277","Kids Station",0.03,0,0,0.03,0
"278","King Records",0.02,0,0,0.02,0
"279","Knowledge Adventure",0.3675,0.3075,0.04,0,0.0175
"280","Koch Media",0.277058823529412,0.135882352941176,0.0941176470588235,0,0.0482352941176471
"281","Kokopeli Digital Studios",0.03,0.02,0.01,0,0
"282","Konami Digital Entertainment",0.340913461538462,0.110769230769231,0.0837620192307692,0.109735576923077,0.0364302884615385
"283","Kool Kizz",0.04,0.03,0.01,0,0
"284","KSS",0.03,0,0,0.03,0
"285","Laguna",0.3875,0.04,0.01,0.335,0.0025
"286","Legacy Interactive",0.04,0.04,0,0,0
"287","LEGO Media",0.222857142857143,0.144285714285714,0.0714285714285714,0,0.00714285714285714
"288","Level 5",0.450740740740741,0.00740740740740741,0.01,0.431481481481481,0.00148148148148148
"289","Lexicon Entertainment",0.025,0.02,0,0,0
"290","Licensed 4U",0.0233333333333333,0,0.02,0,0
